도로코드,도로명,전체 유동인구,남성 유동인구,여성 유동인구,10대 유동인구,20대 유동인구,30대 유동인구,40대 유동인구, 50대 유동인구, 60대 이상 유동인구
000401,독산로93길,9493,5191,4303,79,1319,2093,2141,2300,1561
000402,독서당로51길,23441,10797,12644,998,3516,6010,4472,4411,4032
000403,독서당로59길,13097,6368,6729,488,2455,3481,2825,2017,1830
000404,독서당로59다길,15115,7364,7752,356,2885,4021,3363,2412,2078
000405,돈화문로4길,37012,22203,14809,1214,9352,6141,5860,6516,7930
000406,돌곶이로14길,31032,16461,14571,490,7193,5530,6445,6190,5185
000407,돌곶이로18길,19973,10276,9697,240,4616,3789,4193,4038,3097
000408,돌곶이로22나길,37958,19879,18079,837,8926,7042,7188,7781,6184
000409,돌곶이로23길,13012,7046,5966,10,3531,2449,3057,2272,1693
000410,돌곶이로25길,32239,16460,15779,939,7819,5577,6907,6308,4689
000411,돌곶이로27길,40147,20897,19250,2383,6545,6279,7929,8914,8097
000412,돌곶이로32길,12262,7825,4437,440,1038,1304,2760,3174,3547
000413,돌곶이로39길,8608,4524,4084,499,567,1828,2171,1999,1544
000414,돌곶이로41가길,61873,30557,31316,5027,10477,13051,12409,11363,9547
000415,돌곶이로41길,16310,8298,8013,1173,1826,3490,3584,3415,2823
000416,돌곶이로8길,63012,34389,28623,4327,11710,10687,12272,13704,10312
000417,동광로12가길,98979,48061,50918,6067,27453,20097,15888,15613,13861
000418,동광로1길,72330,39251,33079,4875,16107,14973,15990,11674,8711
000419,동광로3길,50017,27227,22790,3533,11674,10464,10941,8004,5403
000420,동교로18길,27803,13969,13834,899,9958,7692,4837,2711,1705
000421,동교로38길,16967,7431,9536,333,8460,4751,2133,803,488
000422,동교로39길,13979,6767,7211,129,6105,4347,1626,972,800
000423,동교로46길,48909,21229,27680,1790,23682,12172,5450,3143,2672
000424,동교로9길,153201,71601,81600,6909,48757,40522,26080,17003,13929
000425,동남로81길,19741,10121,9620,2221,2905,3495,3993,4080,3047
000426,동남로8길,89412,45417,43995,6715,18206,20085,15517,16387,12502
000427,동산로12길,12871,7203,5667,795,2166,3262,2936,2030,1681
000428,동산로13길,8784,5048,3737,209,1895,2680,1859,1093,1048
000429,동산로19길,35176,21229,13947,781,7686,9476,7076,5019,5139
000430,동산로2길,11987,6889,5098,90,2521,3389,2586,2130,1271
000431,동산로6길,26849,15237,11611,1524,4769,6823,5641,4624,3468
000432,동소문로13가길,97005,45121,51884,10881,25955,16367,16987,14473,12343
000433,동소문로13길,92676,42801,49875,10912,23169,15351,16746,14420,12077
000434,동소문로13나길,64341,30029,34312,7224,18447,11080,10599,9015,7975
000435,동소문로23길,75313,36757,38556,9467,33078,12311,8980,6429,5047
000436,동소문로2길,65572,31781,33792,5089,20359,12116,10550,9469,7989
000437,동소문로35길,25011,11623,13388,2726,4990,4556,4187,4374,4179
000438,동소문로42길,32971,16567,16403,1947,6382,5969,6121,6628,5923
000439,동소문로42나길,13672,6467,7205,531,2813,3104,2869,2325,2030
000440,동소문로43다길,36146,16108,20038,1975,6704,6870,7081,7454,6061
000441,동소문로44길,24816,12120,12697,1291,4812,5017,4613,4890,4194
000442,동소문로5길,14590,6794,7796,1074,4330,2764,2345,2183,1895
000443,동소문로6길,52677,25319,27358,3564,16220,9841,8502,7897,6653
000444,동숭4길,18452,7491,10961,1728,8477,4168,2124,1295,659
000445,동숭4나길,46841,21560,25281,3952,16168,10018,6438,5937,4328
